id,city,state,bathrooms,bedrooms,livingArea,lotArea,lotUnit,price,homeType_CONDO,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE,median_income
203,Lawrenceville,GA,3.0,4.0,1881.0,11325.6,acres,340000.0,0,0,1,0,45349.0
204,Carbondale,IL,2.0,3.0,1960.0,87120.0,acres,179500.0,0,0,1,0,15963.0
205,Clarksville,TN,2.0,3.0,1216.0,15245.999999999998,acres,210000.0,0,0,1,0,34415.0
206,Pittsburgh,PA,2.0,2.0,1472.0,0.0,sqft,255000.0,1,0,0,0,33877.0
207,Bismarck,ND,2.0,3.0,1768.0,7405.200000000001,acres,216400.0,0,0,1,0,35566.0
208,Bozeman,MT,2.0,3.0,1642.0,7500.0,sqft,590000.0,0,0,1,0,37218.0
209,Sterling,VA,2.0,4.0,1829.0,10018.8,sqft,575000.0,0,0,1,0,71325.0
210,Maynard,IA,1.0,2.0,940.0,5662.8,sqft,105000.0,0,0,1,0,29135.0
211,Saint Francis,WI,2.0,3.0,1560.0,6534.0,sqft,228500.0,0,0,1,0,30170.0
212,Addison,ME,2.0,3.0,1795.0,29620.799999999996,acres,179400.0,0,0,1,0,24167.0
213,New Castle,DE,1.0,3.0,1000.0,8276.4,sqft,209900.0,0,0,1,0,39406.0
214,Lebanon,IN,2.0,4.0,1320.0,6534.0,sqft,168000.0,0,0,1,0,34708.0
215,Riverview,FL,3.0,3.0,1627.0,0.0,sqft,268000.0,0,0,0,1,50753.0
216,Castle Rock,CO,3.0,3.0,3189.0,6534.0,sqft,595000.0,0,0,1,0,49853.0
217,Waukesha,WI,2.0,3.0,1541.0,91476.0,acres,304500.0,0,0,1,0,48750.0
218,Saint Paul,MN,2.0,4.0,2800.0,5227.2,sqft,340000.0,0,0,1,0,42072.0
219,Annandale,VA,3.0,3.0,3613.0,27007.2,acres,824927.0,0,0,1,0,66023.0
220,Portland,OR,1.0,1.0,704.0,0.0,sqft,330000.0,1,0,0,0,54494.0
221,Novi,MI,3.0,4.0,2549.0,11325.6,acres,417500.0,0,0,1,0,67833.0
222,Phoenix,AZ,1.0,2.0,708.0,0.0,sqft,170000.0,1,0,0,0,29717.0
223,Washington,DC,3.0,3.0,1482.0,0.0,sqft,875000.0,1,0,0,0,76295.0
224,Little Rock,AR,2.0,3.0,1461.0,25264.8,acres,182500.0,0,0,1,0,43658.0
225,Hartselle,AL,1.0,3.0,1301.0,10890.0,acres,159900.0,0,0,1,0,28816.0
226,Irondale,AL,2.0,3.0,1576.0,8276.4,acres,265500.0,0,0,1,0,35321.0
227,Gibsonia,PA,2.0,3.0,1476.0,9350.0,sqft,240851.0,0,0,1,0,35972.0
228,Terryville,CT,2.0,4.0,1344.0,8276.4,sqft,219900.0,0,0,1,0,42994.0
229,Littleton,CO,2.0,3.0,1808.0,5914.0,sqft,530000.0,0,0,1,0,57355.0
230,Fishers,IN,3.0,2.0,1700.0,0.0,sqft,240000.0,1,0,0,0,53706.0
231,Mayflower,AR,2.0,4.0,1831.0,10454.4,sqft,225000.0,0,0,1,0,40074.0
232,Huntington Beach,CA,1.0,2.0,861.0,0.0,sqft,560500.0,1,0,0,0,73182.0
233,Elkhorn,NE,3.0,4.0,2363.0,1176.12,sqft,457635.0,0,0,1,0,61378.0
234,Maricopa,AZ,2.0,3.0,2099.0,6664.68,sqft,420000.0,0,0,1,0,50044.0
235,Youngsville,LA,3.0,5.0,2584.0,6224.724,sqft,284600.0,0,0,1,0,45565.0
236,Huxley,IA,3.0,4.0,1407.0,11761.2,acres,289900.0,0,0,1,0,58214.0
237,Alton,IL,2.0,3.0,900.0,6403.32,sqft,42000.0,0,0,1,0,30439.0
238,Sunbury,OH,3.0,3.0,2320.0,0.0,sqft,369900.0,1,0,0,0,51125.0
239,Elkview,WV,2.0,3.0,2073.0,31798.8,acres,270000.0,0,0,1,0,22349.0
240,Vancouver,WA,3.0,3.0,1751.0,3049.2,sqft,425000.0,0,0,1,0,43083.0
241,Anchorage,AK,3.0,4.0,2068.0,9275.0,sqft,419700.0,0,0,1,0,66743.0
242,Richmond,VA,4.0,3.0,2066.0,0.0,sqft,468000.0,0,0,0,1,32142.0
243,Phoenix,AZ,2.0,2.0,1209.0,0.0,sqft,490000.0,1,0,0,0,26917.0
244,Dixon,IA,2.0,3.0,1667.0,116740.8,acres,350000.0,0,0,1,0,19191.0
245,Overland Park,KS,2.0,3.0,2043.0,24393.6,acres,331500.0,0,0,1,0,60816.0
246,Longmont,CO,3.0,3.0,2173.0,5083.0,sqft,607900.0,0,0,1,0,50534.0
247,Oklahoma City,OK,1.0,3.0,1169.0,7148.0,sqft,101000.0,0,0,1,0,53981.0
248,Meridian,ID,3.0,4.0,2325.0,10454.4,sqft,633900.0,0,0,1,0,34417.0
249,Spring Hill,FL,2.0,3.0,1546.0,12366.684,acres,260000.0,0,0,1,0,31489.0
250,Star,ID,2.0,3.0,1521.0,6969.6,sqft,399000.0,0,0,1,0,36831.0
251,Wonder Lake,IL,3.0,2.0,1558.0,0.0,sqft,189680.0,0,0,0,1,54037.0
252,Manassas,VA,2.0,3.0,1332.0,0.0,sqft,265000.0,0,0,0,1,57524.0
253,Los Angeles,CA,1.0,3.0,1320.0,5201.0,sqft,670000.0,0,0,1,0,25739.0
254,Lebanon,IN,1.0,2.0,725.0,7187.4,sqft,135000.0,0,0,1,0,34708.0
255,Germantown,WI,2.0,2.0,1272.0,0.0,sqft,265000.0,1,0,0,0,43617.0
256,Idaho Falls,ID,2.0,3.0,1725.0,7405.0,sqft,290100.0,0,0,1,0,28400.0
257,Suffern,NY,2.0,3.0,1294.0,3920.0,sqft,425000.0,0,0,1,0,46391.0
258,Manassas,VA,2.0,2.0,936.0,0.0,sqft,215000.0,1,0,0,0,50475.0
259,Kokomo,IN,2.0,3.0,1767.0,17859.6,acres,205000.0,0,0,1,0,34695.0
260,Fond Du Lac,WI,1.0,3.0,1232.0,4356.0,sqft,93000.0,0,0,1,0,33632.0
261,Bentonville,AR,2.5,3.0,2108.0,7405.0,sqft,410000.0,0,0,1,0,51027.0
262,Prairie Grove,AR,2.0,3.0,1612.0,435.0,sqft,265000.0,0,0,1,0,17351.0
263,Covington,KY,2.0,4.0,1160.0,3524.004,sqft,139900.0,0,0,1,0,34609.0
264,Huntington,VT,2.0,3.0,1660.0,217800.0,acres,445000.0,0,0,1,0,54792.0
265,Salt Lake City,UT,1.0,2.0,1072.0,6969.0,sqft,367300.0,0,0,1,0,35245.0
266,Chester Springs,PA,3.0,3.0,3840.0,9583.2,sqft,650000.0,0,0,1,0,55114.0
267,Mountain home,AR,2.0,3.0,1421.0,0.0,acres,145460.0,0,0,1,0,26754.0
268,Chicago,IL,3.0,4.0,1325.0,3781.008,sqft,289000.0,0,0,1,0,39656.0
